movie	42	2013
director	Helgeland, Brian	42	2013
actress	Moyé, Denise	42	2013	Older Woman
actress	Metzger, Janet	42	2013	Jane Ann
actress	Michaell, Monnae	42	2013	Mallie
actress	Tylor, Jud	42	2013	Laraine Day
actress	Sandy, Zarha	42	2013	Bowman's Cafe
actress	Foreman, Karole	42	2013	Duff Harris
actress	Griffis, Rhoda	42	2013	Miss Bishop
actress	Jakle, Kelley	42	2013	Alice
actress	Beharie, Nicole	42	2013	Rachel Robinson
actress	Boothe, Cherise	42	2013	Ed's Mother
actor	Large, Luke	42	2013	Baseball Player
actor	Lauderdale, Brian	42	2013	Baseball Player
actor	Law, Keith	42	2013	Baseball Player
actor	Linklater, Hamish	42	2013	Ralph Branca
actor	Loderhose, Ben	42	2013	Baseball Player
actor	Luken, Jesse	42	2013	Eddie Stanky
actor	Mackenzie, Peter	42	2013	Happy Chandler
actor	McBee, Mitchell	42	2013	Baseball Player
actor	McGinley, John C.	42	2013	Red Barber
actor	Meloni, Christopher	42	2013	Leo Durocher
actor	Mengini, Dan	42	2013	Spectator One
actor	Merriman, Ryan	42	2013	Dixie Walker
actor	Miller, Gary	42	2013	Umpire Five
actor	Moore, Kirklan	42	2013	Baseball Player
actor	Mullins, Andrew C.	42	2013	Umpire Three
actor	Nellist, Marc	42	2013	Baseball Player
actor	Nitkowski, C.J.	42	2013	Dutch Leonard
actor	O'Brien, Clint	42	2013	Hugh Casey
actor	Paul, Andrew	42	2013	Baseball Player
actor	Pesi, Gino Anthony	42	2013	Joe Garagiola
actor	Phillips, Derek	42	2013	Bobby Bragan
actor	Pickens Jr., James	42	2013	Mr. Brock
actor	Pinkston, Friedel	42	2013	Birmingham Catcher
actor	Rackley, James	42	2013	Phillie One
actor	Radcliff, Darren	42	2013	Baseball Player
actor	Suttle, Barry	42	2013	Roosevelt Home Umpire
actor	Sweeney, David	42	2013	Fan Two
actor	Tavernaro, Richard	42	2013	Deland Umpire
actor	Taylor, Jeremy Ray	42	2013	Boy
actor	Thoms, David	42	2013	Enos Slaughter
actor	Tudyk, Alan	42	2013	Ben Chapman
actor	Vinson, Danny	42	2013	Eddie Dyer
actor	Walker, Jackson	42	2013	Jimmy Powers
actor	Willingham, Justin	42	2013	Baseball Player
actor	Wilson, Todd	42	2013	Reporter Four
actor	Roberts, Andrew B.	42	2013	Ball One Umpire
actor	Ruehling, Jamie	42	2013	Spider Jorgensen
actor	Sanders, Blake	42	2013	Gene Hermanski
actor	Sawyer, Danny	42	2013	Baseball Player
actor	Sharrock, Jake	42	2013	Baseball Player
actor	Smith, Jayson Warner	42	2013	White Gas Station Attendant
actor	Spears, Dennis A.	42	2013	Umpire Four
actor	Stewart, Jack	42	2013	Baseball Player
actor	Farb, Aaron	42	2013	Phillie Two
actor	Fenlon, Daniel	42	2013	Babe Hamburger
actor	Finn, Tobias Michael	42	2013	Panamanian Kid
actor	Flaman, William	42	2013	Cracker
actor	Ford, Harrison	42	2013	Branch Rickey
actor	Fowler, Barry	42	2013	Baseball Player
actor	Friedman, Henry	42	2013	Freckles
actor	Allen, Tucker	42	2013	Baseball Player
actor	Beam, Chance	42	2013	Baseball Player
actor	Beyer, Brad	42	2013	Kirby Higbe
actor	Black, Lucas	42	2013	Pee Wee Reese
actor	Blinder, Ari	42	2013	Photographer
actor	Boseman, Chadwick	42	2013	Jackie Robinson
actor	Brooks, Matthew	42	2013	Baseball Player
actor	Brown, Dusan	42	2013	Ed Charles
actor	Callaway, Scott	42	2013	Andy Seminick
actor	Cannon, Chad	42	2013	Baseball Player
actor	Capallo, Tom	42	2013	Baseball Player
actor	Chancey, Nate	42	2013	Baseball Player
actor	Clark, Matt	42	2013	Luther
actor	Clowdus, Hunter	42	2013	Dodger Bat Boy
actor	Cole, Michael H.	42	2013	Another Reporter
actor	Coleman, Jimmie L.	42	2013	Negro League Umpire
actor	Cook, Kenny	42	2013	Fan One
actor	Covington, Maury	42	2013	Policeman
actor	Criscuolo, Lou	42	2013	Reporter One
actor	Cullen, Brett	42	2013	Clay Hopper
actor	Cyprysiak, Kyle	42	2013	Baseball Player
actor	Denney, Brett	42	2013	Baseball Player
actor	Gail, Max	42	2013	Burt Shotton
actor	Ginther, Andrew	42	2013	Baseball Player
actor	Goolsby, Anthony S.	42	2013	Monarch Batter
actor	Gowan, Marc	42	2013	Doctor
actor	Griffin, Dax	42	2013	Racist City Island Fan
actor	Grimes Jr., Ercell A.	42	2013	Shouting Fan
actor	Hand, Linc	42	2013	Fritz Ostermueller
actor	Hansen, Holden	42	2013	Freckle's Dad
actor	Harelik, Mark	42	2013	Herb Pennock
actor	Harvey, Christopher	42	2013	Bus Driver
actor	Hazen, Jeremy	42	2013	Baseball Player
actor	Helgeland, Thomas	42	2013	Everett McCooey
actor	Henegar, Chris	42	2013	Baseball Player
actor	Hester, Austin	42	2013	Baseball Player
actor	Hickey, Wayne	42	2013	Umpire Two
actor	Hicks, Steve	42	2013	Umpire One
actor	Hill, Matthew	42	2013	Baseball Player
actor	Holland, André	42	2013	Wendell Smith
actor	Holliday, Jamey	42	2013	Pete Reiser
actor	Houser, Dwight	42	2013	City Island Umpire
actor	Howard, Daniel	42	2013	Baseball Player
actor	Hubbard, Matthew	42	2013	Baseball Player
actor	Hughes, Ross	42	2013	Reporter Two
actor	Huss, Toby	42	2013	Clyde Sukeforth
actor	Inscoe, Joe	42	2013	Bob Cooke
actor	Johnson, Chad R	42	2013	Baseball Player
actor	Jurasik, Peter	42	2013	Hotel Manager
actor	Kersey, Brandon	42	2013	Baseball Player
actor	Knezevich, Joe	42	2013	Reporter Three
actor	Knight, Johnny	42	2013	Carl Furillo
actor	Knight, T.R.	42	2013	Harold Parrott
actor	Kohler, Jon	42	2013	Spectator Two
movie	A Bronx Tale	1993
director	De Niro, Robert	A Bronx Tale	1993
actress	Narducci, Kathrine	A Bronx Tale	1993	Rosina
actress	Palminteri, Gianna	A Bronx Tale	1993	Tina
actress	Lalicata, Linda	A Bronx Tale	1993	Chez Bippy Customer
actress	von Arx, Nina	A Bronx Tale	1993	Rachel
actress	Hicks, Taral	A Bronx Tale	1993	Jane
actress	Abassi, Elizabeth	A Bronx Tale	1993	Lady in Window
actress	Bernardini, Ida	A Bronx Tale	1993	Fish Store Customer
actress	Brooks, Kacy	A Bronx Tale	1993	Doo Wop Group (School)
